Symbol,Company Name,Industry,Series,ISIN Code
360ONE,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038
3MINDIA,3M India Ltd.,Diversified,EQ,INE470A01017
AARTIIND,Aarti Industries Ltd.,Chemicals,EQ,INE769A01020
AAVAS,Aavas Financiers Ltd.,Financial Services,EQ,INE216P01012
ABB,ABB India Ltd.,Capital Goods,EQ,INE117A01022
ABBOTINDIA,Abbott India Ltd.,Healthcare,EQ,INE358A01014
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,EQ,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,EQ,INE647O01011
ABREL,Aditya Birla Real Estate Ltd.,Forest Materials,EQ,INE055A01016
ACC,ACC Ltd.,Construction Materials,EQ,INE012A01025
ACE,Action Construction Equipment Ltd.,Capital Goods,EQ,INE731H01025
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,Power,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,Power,EQ,INE814H01011
AFFLE,Affle 3i Ltd.,Information Technology,EQ,INE00WC01027
AIAENG,AIA Engineering Ltd.,Capital Goods,EQ,INE212H01026
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,EQ,INE031B01049
ALKEM,Alkem Laboratories Ltd.,Healthcare,EQ,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,EQ,INE150B01039
ALOKINDS,Alok Industries Ltd.,Textiles,EQ,INE270A01029
AMBER,Amber Enterprises India Ltd.,Consumer Durables,EQ,INE371P01015
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024
ANANTRAJ,Anant Raj Ltd.,Realty,EQ,INE242C01024
ANGELONE,Angel One Ltd.,Financial Services,EQ,INE732I01013
APARINDS,Apar Industries Ltd.,Capital Goods,EQ,INE372A01015
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,EQ,INE702C01027
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,EQ,INE901L01018
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,EQ,INE438A01022
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,EQ,INE439A01020
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,EQ,INE208A01029
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,EQ,INE914M01019
ASTRAL,Astral Ltd.,Capital Goods,EQ,INE006I01046
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare,EQ,INE203A01020
