Original_Symbol,Yahoo_Finance_Ticker
360ONE,360ONE.NS
3MINDIA,3MINDIA.NS
ABB,ABB.NS
ACC,ACC.NS
ACMESOLAR,ACMESOLAR.NS
AIAENG,AIAENG.NS
APLAPOLLO,APLAPOLLO.NS
AUBANK,AUBANK.NS
AWL,AWL.NS
AADHARHFC,AADHARHFC.NS
AARTIIND,AARTIIND.NS
AAVAS,AAVAS.NS
ABBOTINDIA,ABBOTINDIA.NS
ACE,ACE.NS
ADANIENSOL,ADANIENSOL.NS
ADANIENT,ADANIENT.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPORTS,ADANIPORTS.NS
ADANIPOWER,ADANIPOWER.NS
ATGL,ATGL.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
ABREL,ABREL.NS
ABSLAMC,ABSLAMC.NS
AEGISLOG,AEGISLOG.NS
AFCONS,AFCONS.NS
AFFLE,AFFLE.NS
AJANTPHARM,AJANTPHARM.NS
AKUMS,AKUMS.NS
APLLTD,APLLTD.NS
ALIVUS,ALIVUS.NS
ALKEM,ALKEM.NS
ALKYLAMINE,ALKYLAMINE.NS
ALOKINDS,ALOKINDS.NS
ARE&M,ARE&M.NS
AMBER,AMBER.NS
AMBUJACEM,AMBUJACEM.NS
ANANDRATHI,ANANDRATHI.NS
ANANTRAJ,ANANTRAJ.NS
ANGELONE,ANGELONE.NS
APARINDS,APARINDS.NS
APOLLOHOSP,APOLLOHOSP.NS
APOLLOTYRE,APOLLOTYRE.NS
APTUS,APTUS.NS
ASAHIINDIA,ASAHIINDIA.NS
ASHOKLEY,ASHOKLEY.NS
ASIANPAINT,ASIANPAINT.NS
ASTERDM,ASTERDM.NS
ASTRAZEN,ASTRAZEN.NS
ASTRAL,ASTRAL.NS
ATUL,ATUL.NS
AUROPHARMA,AUROPHARMA.NS
AIIL,AIIL.NS
DMART,DMART.NS
AXISBANK,AXISBANK.NS
BASF,BASF.NS
BEML,BEML.NS
BLS,BLS.NS
BSE,BSE.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BAJAJHFL,BAJAJHFL.NS
BALKRISIND,BALKRISIND.NS
BALRAMCHIN,BALRAMCHIN.NS
BANDHANBNK,BANDHANBNK.NS
BANKBARODA,BANKBARODA.NS
BANKINDIA,BANKINDIA.NS
MAHABANK,MAHABANK.NS
BATAINDIA,BATAINDIA.NS
BAYERCROP,BAYERCROP.NS
BERGEPAINT,BERGEPAINT.NS
BDL,BDL.NS
BEL,BEL.NS
BHARATFORG,BHARATFORG.NS
BHEL,BHEL.NS
BPCL,BPCL.NS
BHARTIARTL,BHARTIARTL.NS
BHARTIHEXA,BHARTIHEXA.NS
BIKAJI,BIKAJI.NS
BIOCON,BIOCON.NS
BSOFT,BSOFT.NS
BLUEDART,BLUEDART.NS
BLUESTARCO,BLUESTARCO.NS
BBTC,BBTC.NS
BOSCHLTD,BOSCHLTD.NS
FIRSTCRY,FIRSTCRY.NS
BRIGADE,BRIGADE.NS
BRITANNIA,BRITANNIA.NS
MAPMYINDIA,MAPMYINDIA.NS
CCL,CCL.NS
CESC,CESC.NS
CGPOWER,CGPOWER.NS
CRISIL,CRISIL.NS
CAMPUS,CAMPUS.NS
CANFINHOME,CANFINHOME.NS
CANBK,CANBK.NS
CAPLIPOINT,CAPLIPOINT.NS
CGCL,CGCL.NS
CARBORUNIV,CARBORUNIV.NS
CASTROLIND,CASTROLIND.NS
CEATLTD,CEATLTD.NS
CENTRALBK,CENTRALBK.NS
CDSL,CDSL.NS
CENTURYPLY,CENTURYPLY.NS
CERA,CERA.NS
CHALET,CHALET.NS
CHAMBLFERT,CHAMBLFERT.NS
CHENNPETRO,CHENNPETRO.NS
CHOLAHLDNG,CHOLAHLDNG.NS
CHOLAFIN,CHOLAFIN.NS
CIPLA,CIPLA.NS
CUB,CUB.NS
CLEAN,CLEAN.NS
COALINDIA,COALINDIA.NS
COCHINSHIP,COCHINSHIP.NS
COFORGE,COFORGE.NS
COHANCE,COHANCE.NS
COLPAL,COLPAL.NS
CAMS,CAMS.NS
CONCORDBIO,CONCORDBIO.NS
CONCOR,CONCOR.NS
COROMANDEL,COROMANDEL.NS
CRAFTSMAN,CRAFTSMAN.NS
CREDITACC,CREDITACC.NS
CROMPTON,CROMPTON.NS
CUMMINSIND,CUMMINSIND.NS
CYIENT,CYIENT.NS
DCMSHRIRAM,DCMSHRIRAM.NS
DLF,DLF.NS
DOMS,DOMS.NS
DABUR,DABUR.NS
DALBHARAT,DALBHARAT.NS
DATAPATTNS,DATAPATTNS.NS
DEEPAKFERT,DEEPAKFERT.NS
DEEPAKNTR,DEEPAKNTR.NS
DELHIVERY,DELHIVERY.NS
DEVYANI,DEVYANI.NS
DIVISLAB,DIVISLAB.NS
DIXON,DIXON.NS
LALPATHLAB,LALPATHLAB.NS
DRREDDY,DRREDDY.NS
EIDPARRY,EIDPARRY.NS
EIHOTEL,EIHOTEL.NS
EICHERMOT,EICHERMOT.NS
ELECON,ELECON.NS
ELGIEQUIP,ELGIEQUIP.NS
EMAMILTD,EMAMILTD.NS
EMCURE,EMCURE.NS
ENDURANCE,ENDURANCE.NS
ENGINERSIN,ENGINERSIN.NS
ERIS,ERIS.NS
ESCORTS,ESCORTS.NS
ETERNAL,ETERNAL.NS
EXIDEIND,EXIDEIND.NS
NYKAA,NYKAA.NS
FEDERALBNK,FEDERALBNK.NS
FACT,FACT.NS
FINCABLES,FINCABLES.NS
FINPIPE,FINPIPE.NS
FSL,FSL.NS
FIVESTAR,FIVESTAR.NS
FORTIS,FORTIS.NS
GAIL,GAIL.NS
GVT&D,GVT&D.NS
GMRAIRPORT,GMRAIRPORT.NS
GRSE,GRSE.NS
GICRE,GICRE.NS
GILLETTE,GILLETTE.NS
GLAND,GLAND.NS
GLAXO,GLAXO.NS
GLENMARK,GLENMARK.NS
MEDANTA,MEDANTA.NS
GODIGIT,GODIGIT.NS
GPIL,GPIL.NS
GODFRYPHLP,GODFRYPHLP.NS
GODREJAGRO,GODREJAGRO.NS
GODREJCP,GODREJCP.NS
GODREJIND,GODREJIND.NS
GODREJPROP,GODREJPROP.NS
GRANULES,GRANULES.NS
GRAPHITE,GRAPHITE.NS
GRASIM,GRASIM.NS
GRAVITA,GRAVITA.NS
GESHIP,GESHIP.NS
FLUOROCHEM,FLUOROCHEM.NS
GUJGASLTD,GUJGASLTD.NS
GMDCLTD,GMDCLTD.NS
GNFC,GNFC.NS
GPPL,GPPL.NS
GSPL,GSPL.NS
HEG,HEG.NS
HBLENGINE,HBLENGINE.NS
HCLTECH,HCLTECH.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HFCL,HFCL.NS
HAPPSTMNDS,HAPPSTMNDS.NS
HAVELLS,HAVELLS.NS
HEROMOTOCO,HEROMOTOCO.NS
HSCL,HSCL.NS
HINDALCO,HINDALCO.NS
HAL,HAL.NS
HINDCOPPER,HINDCOPPER.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HINDZINC,HINDZINC.NS
POWERINDIA,POWERINDIA.NS
HOMEFIRST,HOMEFIRST.NS
HONASA,HONASA.NS
HONAUT,HONAUT.NS
HUDCO,HUDCO.NS
HYUNDAI,HYUNDAI.NS
ICICIBANK,ICICIBANK.NS
ICICIGI,ICICIGI.NS
ICICIPRULI,ICICIPRULI.NS
IDBI,IDBI.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IFCI,IFCI.NS
IIFL,IIFL.NS
INOXINDIA,INOXINDIA.NS
IRB,IRB.NS
IRCON,IRCON.NS
ITC,ITC.NS
ITI,ITI.NS
INDGN,INDGN.NS
INDIACEM,INDIACEM.NS
INDIAMART,INDIAMART.NS
INDIANB,INDIANB.NS
IEX,IEX.NS
INDHOTEL,INDHOTEL.NS
IOC,IOC.NS
IOB,IOB.NS
IRCTC,IRCTC.NS
IRFC,IRFC.NS
IREDA,IREDA.NS
IGL,IGL.NS
INDUSTOWER,INDUSTOWER.NS
INDUSINDBK,INDUSINDBK.NS
NAUKRI,NAUKRI.NS
INFY,INFY.NS
INOXWIND,INOXWIND.NS
INTELLECT,INTELLECT.NS
INDIGO,INDIGO.NS
IGIL,IGIL.NS
IKS,IKS.NS
IPCALAB,IPCALAB.NS
JBCHEPHARM,JBCHEPHARM.NS
JKCEMENT,JKCEMENT.NS
JBMA,JBMA.NS
JKTYRE,JKTYRE.NS
JMFINANCIL,JMFINANCIL.NS
JSWENERGY,JSWENERGY.NS
JSWHL,JSWHL.NS
JSWINFRA,JSWINFRA.NS
JSWSTEEL,JSWSTEEL.NS
JPPOWER,JPPOWER.NS
J&KBANK,J&KBANK.NS
JINDALSAW,JINDALSAW.NS
JSL,JSL.NS
JINDALSTEL,JINDALSTEL.NS
JIOFIN,JIOFIN.NS
JUBLFOOD,JUBLFOOD.NS
JUBLINGREA,JUBLINGREA.NS
JUBLPHARMA,JUBLPHARMA.NS
JWL,JWL.NS
JUSTDIAL,JUSTDIAL.NS
JYOTHYLAB,JYOTHYLAB.NS
JYOTICNC,JYOTICNC.NS
KPRMILL,KPRMILL.NS
KEI,KEI.NS
KNRCON,KNRCON.NS
KPITTECH,KPITTECH.NS
KAJARIACER,KAJARIACER.NS
KPIL,KPIL.NS
KALYANKJIL,KALYANKJIL.NS
KANSAINER,KANSAINER.NS
KARURVYSYA,KARURVYSYA.NS
KAYNES,KAYNES.NS
KEC,KEC.NS
KFINTECH,KFINTECH.NS
KIRLOSBROS,KIRLOSBROS.NS
KIRLOSENG,KIRLOSENG.NS
KOTAKBANK,KOTAKBANK.NS
KIMS,KIMS.NS
LTF,LTF.NS
LTTS,LTTS.NS
LICHSGFIN,LICHSGFIN.NS
LTFOODS,LTFOODS.NS
LTIM,LTIM.NS
LT,LT.NS
LATENTVIEW,LATENTVIEW.NS
LAURUSLABS,LAURUSLABS.NS
LEMONTREE,LEMONTREE.NS
LICI,LICI.NS
LINDEINDIA,LINDEINDIA.NS
LLOYDSME,LLOYDSME.NS
LUPIN,LUPIN.NS
MMTC,MMTC.NS
MRF,MRF.NS
LODHA,LODHA.NS
MGL,MGL.NS
